name,author,narrator,releasedate,language,price,rating_stars,n_ratings,time_mins
Skeleton Key,AnthonyHorowitz,OliverChris,2020-09-04,English,6.828,5.0,3.0,419
Demon Dentist,DavidWalliams,DavidWalliams,2013-03-10,English,3.18,5.0,3.0,286
Hidden Pictures,CarolynKeene,JorjeanaMarie,2020-01-14,English,3.66,4.5,9.0,192
The Lost Continent,TuiT.Sutherland,ShannonMcManus,2018-06-26,English,7.872,4.5,4.0,503
Unicorn Academy: Ariana and Whisper,JulieSykes,KristinAtherton,2020-08-10,English,3.192,5.0,1.0,96
A Long Walk to Water,LindaSuePark,"DavidBaker,CynthiaBishop",2013-07-11,English,9.564,5.0,3.0,161
Talons of Power,TuiT.Sutherland,ShannonMcManus,2017-01-01,English,7.032,5.0,7.0,472
Bound for Danger,FranklinW.Dixon,TimGregory,2017-03-20,English,3.66,5.0,4.0,219
"Captain Underpants and the Big, Bad Battle of the Bionic Booger Boy, Part 1: The Night of the Nasty Nostril Nuggets",DavPilkey,"LenForgione,DazjonFreeman,BenD'Amico",2018-10-16,English,3.096,5.0,5.0,70
City of Thieves,AlexLondon,A.J.Beckles,2021-09-21,English,7.032,5.0,1.0,380
Mystery of the Midnight Rider,CarolynKeene,JorjeanaMarie,2014-12-28,English,3.66,5.0,8.0,193
The Smoke Thieves,SallyGreen,"CharlieAnson,PippaBennett-Warner,YasminPaige,",2018-03-05,English,9.84,5.0,1.0,798
The Haunting on Heliotrope Lane,CarolynKeene,JorjeanaMarie,2018-02-01,English,3.66,4.0,9.0,183
The Stolen Show,CarolynKeene,JorjeanaMarie,2019-09-24,English,3.66,5.0,5.0,199
Minecraft: The Crash,TraceyBaptiste,JanuaryLaVoy,2018-12-07,English,8.196,5.0,5.0,438
Scorpia Rising,AnthonyHorowitz,DanStevens,2020-09-04,English,7.74,5.0,2.0,566
Three Tales of My Father's Dragon,RuthStilesGannett,RobertServa,2016-08-16,English,12.06,5.0,2.0,144
Captain Underpants and the Perilous Plot of Professor Poopypants,DavPilkey,"LenForgione,DazjonFreeman,BenD'Amico",2018-09-18,English,3.096,4.0,4.0,63
